# Lid-driven cavity centerline velocities at Re=1000 — benchmark reference.
# Source: Ghia, Ghia & Shin (1982), J. Comput. Phys. 48:387-411, Tables I & II.
# Digitized values from barbagroup/PetIBM
#   (examples/data/ghia_et_al_1982_lid_driven_cavity.dat).
# u = horizontal velocity along the VERTICAL centerline x=0.5, tabulated vs y.
# v = vertical   velocity along the HORIZONTAL centerline y=0.5, tabulated vs x.
# The (y,u) and (x,v) pairs are two independent profiles; a row pairs them by
# index only (both have 17 samples), not by a shared physical point.
y,u,x,v
0.0000,0.00000,0.0000,0.00000
0.0547,-0.18109,0.0625,0.27485
0.0625,-0.20196,0.0703,0.29012
0.0703,-0.22220,0.0781,0.30353
0.1016,-0.29730,0.0938,0.32627
0.1719,-0.38289,0.1563,0.37095
0.2813,-0.27805,0.2266,0.33075
0.4531,-0.10648,0.2344,0.32235
0.5000,-0.06080,0.5000,0.02426
0.6172,0.05702,0.8047,-0.31966
0.7344,0.18719,0.8594,-0.42665
0.8516,0.33304,0.9063,-0.51550
0.9531,0.46604,0.9453,-0.39188
0.9609,0.51117,0.9531,-0.33714
0.9688,0.57492,0.9609,-0.27669
0.9766,0.65928,0.9688,-0.21388
1.0000,1.00000,1.0000,0.00000
