# Lid-driven cavity centerline velocities at Re=400 — benchmark reference.
# Source: Ghia, Ghia & Shin (1982), J. Comput. Phys. 48:387-411, Tables I & II.
# u = horizontal velocity along the VERTICAL centerline x=0.5, tabulated vs y.
# v = vertical   velocity along the HORIZONTAL centerline y=0.5, tabulated vs x.
# The (y,u) and (x,v) pairs are two independent profiles; a row pairs them by
# index only (both have 17 samples), not by a shared physical point.
y,u,x,v
0.0000,0.00000,0.0000,0.00000
0.0547,-0.08186,0.0625,0.18360
0.0625,-0.09266,0.0703,0.19713
0.0703,-0.10338,0.0781,0.20920
0.1016,-0.14612,0.0938,0.22965
0.1719,-0.24299,0.1563,0.28124
0.2813,-0.32726,0.2266,0.30203
0.4531,-0.17119,0.2344,0.30174
0.5000,-0.11477,0.5000,0.05186
0.6172,0.02135,0.8047,-0.38598
0.7344,0.16256,0.8594,-0.44993
0.8516,0.29093,0.9063,-0.23827
0.9531,0.55892,0.9453,-0.22847
0.9609,0.61756,0.9531,-0.19254
0.9688,0.68439,0.9609,-0.15663
0.9766,0.75837,0.9688,-0.12146
1.0000,1.00000,1.0000,0.00000
